round,winner,year,player1,player2,secPointWon1,secPointWon2,return1,return2,total1,total2
Third,David Nalbandian,2004,David Nalbandian,Wayne Ferreira,61,45,42,29,96,73
Third,Juan Carlos Ferrero,2004,Juan Carlos Ferrero,Joachim Johansson,51,48,37,28,138,117
Third,Lleyton Hewitt,2004,Lleyton Hewitt,Rafael Nadal,61,52,39,33,111,96
Third,Mark Philippoussis,2004,Mark Philippoussis,Mario Ancic,58,50,44,30,111,84
Third,James Blake,2004,James Blake,Olivier Patience,58,28,55,28,94,56
Third,Robby Ginepri,2004,Robby Ginepri,Nicolas Escude,56,36,39,34,90,77
Third,Andre Agassi,2004,Andre Agassi,Thomas Enqvist,44,34,54,33,88,56
Third,Marat Safin,2004,Marat Safin,Todd Martin,54,46,35,35,151,148
Third,Paradorn Srichaphan,2004,Paradorn Srichaphan,Gustavo Kuerten,66,39,40,28,96,76
Third,Sjeng Schalken,2004,Sjeng Schalken,Jurgen Melzer,52,48,47,34,115,86
Third,Sebastien Grosjean,2004,Sebastien Grosjean,Dominik Hrbaty,46,45,43,34,106,93
Third,Andy Roddick,2004,Andy Roddick,Taylor Dent,46,27,60,30,84,45
Second,Hicham Arazi,2004,Hicham Arazi,Cyril Saulnier,63,40,43,33,72,57
Second,Todd Reid,2004,Todd Reid,Sargis Sargsian,39,55,43,43,167,165
Second,Mario Ancic,2004,Mario Ancic,Alex Corretja,48,56,39,40,174,173
Second,Mark Philippoussis,2004,Mark Philippoussis,Fabrice Santoro,49,44,41,32,131,112
Second,Rafael Nadal,2004,Rafael Nadal,Thierry Ascione,47,53,46,35,136,116
Second,Roger Federer,2004,Roger Federer,Jeff Morrison,66,45,42,27,100,77
Second,Tim Henman,2004,Tim Henman,Radek Stepanek,67,38,46,27,116,82
Second,Albert Costa,2004,Albert Costa,Wayne Arthurs,55,46,37,34,189,176
Final,Marat Safin,2005,Marat Safin,Lleyton Hewitt,57,52,39,34,122,113
semi,Lleyton Hewitt,2005,Lleyton Hewitt,Andy Roddick,47,42,36,30,142,127
semi,Marat Safin,2005,Marat Safin,Roger Federer,52,51,31,35,194,201
quarter,Lleyton Hewitt,2005,Lleyton Hewitt,David Nalbandian,51,45,39,38,158,153
quarter,Andy Roddick,2005,Andy Roddick,Nikolay Davydenko,52,42,45,30,88,65
quarter,Roger Federer,2005,Roger Federer,Andre Agassi,62,51,35,28,99,79
quarter,Marat Safin,2005,Marat Safin,Dominik Hrbaty,57,43,49,28,85,56
Fourth,Nikolay Davydenko,2005,Nikolay Davydenko,Guillermo Canas,60,66,38,33,93,78
Fourth,David Nalbandian,2005,David Nalbandian,Guillermo Coria,35,30,50,44,146,128
Fourth,Andy Roddick,2005,Andy Roddick,Philipp Kohlschreiber,63,53,35,22,94,69
Fourth,Lleyton Hewitt,2005,Lleyton Hewitt,Rafael Nadal,52,57,38,36,154,152
Fourth,Andre Agassi,2005,Andre Agassi,Joachim Johansson,60,51,30,26,147,141
Fourth,Dominik Hrbaty,2005,Dominik Hrbaty,Thomas Johansson,58,44,46,26,108,78
Fourth,Marat Safin,2005,Marat Safin,Olivier Rochus,60,45,38,26,173,147
Fourth,Roger Federer,2005,Roger Federer,Marcos Baghdatis,65,56,43,23,101,73
Third,David Nalbandian,2005,David Nalbandian,Fernando Gonzalez,48,39,44,34,159,136
Third,Lleyton Hewitt,2005,Lleyton Hewitt,Juan Ignacio Chela,50,52,46,35,115,93
Third,Guillermo Coria,2005,Guillermo Coria,Juan Carlos Ferrero,52,38,56,40,97,70
Third,Guillermo Canas,2005,Guillermo Canas,Radek Stepanek,64,27,58,28,86,47
Third,Andy Roddick,2005,Andy Roddick,Jurgen Melzer,71,48,46,21,103,67
Third,Philipp Kohlschreiber,2005,Philipp Kohlschreiber,Jean-Rene Lisnard,64,50,46,30,108,81
Third,Rafael Nadal,2005,Rafael Nadal,Bobby Reynolds,54,38,54,29,86,52
Third,Nikolay Davydenko,2005,Nikolay Davydenko,Tim Henman,68,40,44,32,106,83
Third,Thomas Johansson,2005,Thomas Johansson,Kevin Kim,60,42,43,27,165,128
Third,Roger Federer,2005,Roger Federer,Jarkko Nieminen,57,45,55,37,62,43
Third,Dominik Hrbaty,2005,Dominik Hrbaty,Gaston Gaudio,42,41,43,41,200,192
Third,Andre Agassi,2005,Andre Agassi,Taylor Dent,61,34,50,32,117,85
Third,Joachim Johansson,2005,Joachim Johansson,Feliciano Lopez,63,57,30,29,200,199
Third,Olivier Rochus,2005,Olivier Rochus,Karol Beck,58,38,42,33,147,123
Third,Marcos Baghdatis,2005,Marcos Baghdatis,Tommy Robredo,49,23,46,34,115,94
Third,Marat Safin,2005,Marat Safin,Mario Ancic,63,45,36,32,120,113
Second,Guillermo Canas,2005,Guillermo Canas,Fernando Verdasco,50,51,50,40,127,104
Second,Bobby Reynolds,2005,Bobby Reynolds,Andrei Pavel,63,33,45,31,98,77
Second,Philipp Kohlschreiber,2005,Philipp Kohlschreiber,Nicolas Massu,60,8,81,28,38,12
Second,Jurgen Melzer,2005,Jurgen Melzer,Nathan Healey,50,54,40,26,95,70
Second,Jean-Rene Lisnard,2005,Jean-Rene Lisnard,Sebastien Grosjean,42,41,46,45,146,146
Second,Juan Ignacio Chela,2005,Juan Ignacio Chela,Gregory Carraz,71,54,35,24,116,95
Second,David Nalbandian,2005,David Nalbandian,Santiago Ventura,65,41,47,33,117,91
Second,Radek Stepanek,2005,Radek Stepanek,Jan Hernych,40,57,42,40,155,147
Second,Nikolay Davydenko,2005,Nikolay Davydenko,Christophe Rochus,45,47,47,36,101,82
Second,Guillermo Coria,2005,Guillermo Coria,Ricardo Mello,45,46,46,44,162,158
Second,Juan Carlos Ferrero,2005,Juan Carlos Ferrero,Mariano Zabaleta,62,34,53,32,81,50
Second,Tim Henman,2005,Tim Henman,Victor Hanescu,58,59,42,28,98,76
Second,Rafael Nadal,2005,Rafael Nadal,Mikhail Youzhny,47,48,44,40,153,140
Second,Fernando Gonzalez,2005,Fernando Gonzalez,Igor Andreev,70,43,44,23,111,81
Second,Lleyton Hewitt,2005,Lleyton Hewitt,James Blake,47,48,43,33,130,112
Second,Andy Roddick,2005,Andy Roddick,Greg Rusedski,67,37,43,17,106,71
Second,Joachim Johansson,2005,Joachim Johansson,Peter Wessels,57,58,32,30,101,92
Second,Karol Beck,2005,Karol Beck,Tommy Haas,46,55,39,37,155,151
Second,Kevin Kim,2005,Kevin Kim,Guillermo Garcia-Lopez,67,32,46,24,95,64
Second,Taylor Dent,2005,Taylor Dent,Michal Tabara,26,32,60,45,96,71
Second,Feliciano Lopez,2005,Feliciano Lopez,Sargis Sargsian,40,50,38,35,136,127
Second,Roger Federer,2005,Roger Federer,Takao Suzuki,68,62,43,26,107,82
Second,Gaston Gaudio,2005,Gaston Gaudio,Mardy Fish,49,49,41,38,137,129
Second,Mario Ancic,2005,Mario Ancic,Bjorn Phau,58,43,48,25,100,66
Second,Thomas Johansson,2005,Thomas Johansson,Agustin Calleri,51,55,36,32,148,143
Second,Dominik Hrbaty,2005,Dominik Hrbaty,Janko Tipsarevic,62,49,44,32,144,117
Second,Andre Agassi,2005,Andre Agassi,Rainer Schuettler,69,28,53,30,94,60
Second,Marat Safin,2005,Marat Safin,Bohdan Ulihrach,59,47,48,25,90,60
Second,Olivier Rochus,2005,Olivier Rochus,Gael Monfils,46,33,54,35,104,72
Second,Jarkko Nieminen,2005,Jarkko Nieminen,Paradorn Srichaphan,58,52,41,29,94,71
Second,Tommy Robredo,2005,Tommy Robredo,Tomas Zib,50,49,43,38,125,115
Second,Marcos Baghdatis,2005,Marcos Baghdatis,Ivan Ljubicic,72,45,37,23,142,116
First,Juan Carlos Ferrero,2005,Juan Carlos Ferrero,Melle van Gemerden,44,51,39,39,116,116
First,Bobby Reynolds,2005,Bobby Reynolds,Nicolas Almagro,56,54,35,33,162,159
First,Philipp Kohlschreiber,2005,Philipp Kohlschreiber,Kenneth Carlsen,58,43,48,31,115,84
First,David Nalbandian,2005,David Nalbandian,David Ferrer,47,53,44,43,171,165
First,Victor Hanescu,2005,Victor Hanescu,Filippo Volandri,71,62,39,32,116,96
First,Igor Andreev,2005,Igor Andreev,Lars Burgsmuller,66,61,43,29,99,73
First,Fernando Gonzalez,2005,Fernando Gonzalez,Jose Acasuso,52,56,36,36,154,152
First,Lleyton Hewitt,2005,Lleyton Hewitt,Arnaud Clement,48,45,43,28,88,63
First,Santiago Ventura,2005,Santiago Ventura,Alex Calatrava,61,61,33,35,154,154
First,Nathan Healey,2005,Nathan Healey,Flavio Saretta,53,48,44,40,113,103
First,Rafael Nadal,2005,Rafael Nadal,Julien Benneteau,54,36,59,30,82,45
First,Juan Ignacio Chela,2005,Juan Ignacio Chela,Wayne Arthurs,64,57,34,20,119,99
First,Mariano Zabaleta,2005,Mariano Zabaleta,Marc Kimmich,61,49,39,25,138,112
First,Jean-Rene Lisnard,2005,Jean-Rene Lisnard,Oliver Marach,49,49,40,40,196,190
First,Mikhail Youzhny,2005,Mikhail Youzhny,Jerome Haehnel,82,69,43,16,96,62
First,Greg Rusedski,2005,Greg Rusedski,Jonas Bjorkman,60,57,41,37,129,121
First,Nikolay Davydenko,2005,Nikolay Davydenko,Roko Karanusic,67,47,53,36,99,72
First,Ricardo Mello,2005,Ricardo Mello,Alberto Martin,42,38,48,34,123,100
First,Fernando Verdasco,2005,Fernando Verdasco,Gilles Muller,65,45,48,26,92,62
First,Jurgen Melzer,2005,Jurgen Melzer,Raemon Sluiter,56,55,50,41,20,17
First,Andy Roddick,2005,Andy Roddick,Irakli Labadze,75,70,47,18,96,56
First,Guillermo Coria,2005,Guillermo Coria,Tomas Berdych,67,39,54,29,85,51
First,Tim Henman,2005,Tim Henman,Cyril Saulnier,62,49,47,37,128,104
First,Sebastien Grosjean,2005,Sebastien Grosjean,Michael Llodra,50,37,48,36,105,81
First,Jan Hernych,2005,Jan Hernych,Felix Mantilla,57,45,47,25,134,91
First,Guillermo Canas,2005,Guillermo Canas,Chris Guccione,47,44,43,30,121,97
First,Nicolas Massu,2005,Nicolas Massu,Antony Dupuis,67,57,38,28,160,133
First,Gregory Carraz,2005,Gregory Carraz,Paul-Henri Mathieu,50,53,42,38,160,151
First,Radek Stepanek,2005,Radek Stepanek,Vince Spadea,59,71,33,33,163,160
First,Andrei Pavel,2005,Andrei Pavel,Olivier Mutis,55,48,48,31,96,68
First,James Blake,2005,James Blake,Florian Mayer,69,44,55,28,90,50
First,Christophe Rochus,2005,Christophe Rochus,Albert Montanes,60,28,50,28,97,67
First,Dominik Hrbaty,2005,Dominik Hrbaty,Robin Soderling,63,41,55,37,61,42
First,Takao Suzuki,2005,Takao Suzuki,Jan-Michael Gambill,69,49,37,25,93,74
First,Tomas Zib,2005,Tomas Zib,Jimmy Wang,53,26,51,44,112,96
First,Feliciano Lopez,2005,Feliciano Lopez,Paul Baccanello,76,64,36,25,104,87
First,Thomas Johansson,2005,Thomas Johansson,Peter Luczak,53,57,37,33,159,147
First,Olivier Rochus,2005,Olivier Rochus,Nicolas Kiefer,52,51,43,39,149,138
First,Sargis Sargsian,2005,Sargis Sargsian,David Sanchez-Munoz,41,53,40,38,148,145
First,Kevin Kim,2005,Kevin Kim,Hyung-Taik Lee,50,50,41,36,147,140
First,Peter Wessels,2005,Peter Wessels,Yen-Hsun Lu,73,43,40,18,90,62
First,Gaston Gaudio,2005,Gaston Gaudio,Justin Gimelstob,66,57,42,31,108,88
First,Marat Safin,2005,Marat Safin,Novak Djokovic,54,19,68,25,83,34
First,Bohdan Ulihrach,2005,Bohdan Ulihrach,Ivo Karlovic,70,58,35,22,138,113
First,Rainer Schuettler,2005,Rainer Schuettler,Olivier Patience,64,54,42,26,114,87
First,Gael Monfils,2005,Gael Monfils,Robby Ginepri,48,64,36,38,125,131
First,Michal Tabara,2005,Michal Tabara,Thomas Enqvist,51,38,47,40,121,103
First,Paradorn Srichaphan,2005,Paradorn Srichaphan,Potito Starace,52,61,39,38,121,122
First,Agustin Calleri,2005,Agustin Calleri,Max Mirnyi,62,52,32,35,154,157
First,Taylor Dent,2005,Taylor Dent,Florent Serra,36,50,47,37,102,83
First,Jarkko Nieminen,2005,Jarkko Nieminen,Davide Sanguinetti,61,42,44,33,107,86
First,Janko Tipsarevic,2005,Janko Tipsarevic,Daniele Bracciali,63,58,39,36,143,135
First,Mario Ancic,2005,Mario Ancic,Oscar Hernandez,75,49,51,23,95,58
First,Tommy Robredo,2005,Tommy Robredo,Scott Draper,59,43,45,34,122,99
First,Bjorn Phau,2005,Bjorn Phau,Albert Costa,66,47,50,36,124,100
First,Ivan Ljubicic,2005,Ivan Ljubicic,Luis Horna,80,42,42,17,93,60
First,Tommy Haas,2005,Tommy Haas,Xavier Malisse,70,48,46,20,100,69
First,Mardy Fish,2005,Mardy Fish,Juan Monaco,46,57,41,37,168,155
First,Roger Federer,2005,Roger Federer,Fabrice Santoro,56,43,53,29,100,66
First,Marcos Baghdatis,2005,Marcos Baghdatis,Federico Luzzi,63,49,44,34,147,121
First,Guillermo Garcia-Lopez,2005,Guillermo Garcia-Lopez,Carlos Moya,61,45,39,35,125,113
First,Karol Beck,2005,Karol Beck,Todd Reid,57,39,51,34,105,74
First,Joachim Johansson,2005,Joachim Johansson,Sjeng Schalken,72,41,38,21,97,74
First,Andre Agassi,2005,Andre Agassi,Dieter Kindlmann,65,42,55,28,108,68
Final,Roger Federer,2006,Roger Federer,Marcos Baghdatis,51,37,46,38,142,116
semi,Roger Federer,2006,Roger Federer,Nicolas Kiefer,67,38,45,30,129,99
semi,Marcos Baghdatis,2006,Marcos Baghdatis,David Nalbandian,50,50,41,39,152,143
quarter,Roger Federer,2006,Roger Federer,Nikolay Davydenko,53,42,36,34,144,139
quarter,Nicolas Kiefer,2006,Nicolas Kiefer,Sebastien Grosjean,51,53,41,44,160,169
quarter,David Nalbandian,2006,David Nalbandian,Fabrice Santoro,72,20,57,27,90,50
quarter,Marcos Baghdatis,2006,Marcos Baghdatis,Ivan Ljubicic,60,54,35,30,146,139
Fourth,Nicolas Kiefer,2006,Nicolas Kiefer,Juan Ignacio Chela,51,53,41,34,101,87
Fourth,Sebastien Grosjean,2006,Sebastien Grosjean,Paul-Henri Mathieu,46,47,51,33,93,68
Fourth,Roger Federer,2006,Roger Federer,Tommy Haas,53,57,39,33,143,127
Fourth,Nikolay Davydenko,2006,Nikolay Davydenko,Dominik Hrbaty,62,41,44,40,161,148
Fourth,Fabrice Santoro,2006,Fabrice Santoro,David Ferrer,47,34,52,44,108,92
Fourth,Ivan Ljubicic,2006,Ivan Ljubicic,Thomas Johansson,71,41,41,26,97,75
Fourth,Marcos Baghdatis,2006,Marcos Baghdatis,Andy Roddick,57,56,33,36,116,117
Fourth,David Nalbandian,2006,David Nalbandian,Tommy Robredo,66,32,48,30,116,87
Third,Roger Federer,2006,Roger Federer,Max Mirnyi,87,31,44,19,104,74
Third,Nicolas Kiefer,2006,Nicolas Kiefer,Juan Carlos Ferrero,56,58,40,28,125,104
Third,Paul-Henri Mathieu,2006,Paul-Henri Mathieu,Luis Horna,61,39,44,28,123,91
Third,Dominik Hrbaty,2006,Dominik Hrbaty,Igor Andreev,57,48,41,41,160,160
Third,Juan Ignacio Chela,2006,Juan Ignacio Chela,Kristof Vliegen,58,38,43,31,101,76
Third,Tommy Haas,2006,Tommy Haas,Peter Luczak,62,54,35,27,123,105
Third,Sebastien Grosjean,2006,Sebastien Grosjean,Guillermo Coria,40,26,52,44,128,109
Third,Nikolay Davydenko,2006,Nikolay Davydenko,Nathan Healey,71,41,41,26,144,116
Third,Andy Roddick,2006,Andy Roddick,Julien Benneteau,64,38,56,23,81,40
Third,David Nalbandian,2006,David Nalbandian,Jarkko Nieminen,58,45,46,39,141,121
Third,David Ferrer,2006,David Ferrer,Mario Ancic,58,48,48,37,94,76
Third,Thomas Johansson,2006,Thomas Johansson,Gilles Simon,53,41,46,28,89,65
Third,Marcos Baghdatis,2006,Marcos Baghdatis,Denis Gremelmayr,60,35,59,36,82,52
Third,Tommy Robredo,2006,Tommy Robredo,James Blake,65,43,43,28,103,79
Third,Fabrice Santoro,2006,Fabrice Santoro,Gaston Gaudio,43,47,43,44,156,152
Third,Ivan Ljubicic,2006,Ivan Ljubicic,Feliciano Lopez,53,38,44,30,119,94
Second,Nathan Healey,2006,Nathan Healey,Amer Delic,63,54,30,30,134,121
Second,Kristof Vliegen,2006,Kristof Vliegen,Fernando Verdasco,41,42,43,41,152,149
Second,Juan Ignacio Chela,2006,Juan Ignacio Chela,Lleyton Hewitt,64,43,45,36,147,128
Second,Igor Andreev,2006,Igor Andreev,Raemon Sluiter,52,58,37,36,145,140
Second,Peter Luczak,2006,Peter Luczak,Olivier Rochus,50,44,39,33,155,135
Second,Luis Horna,2006,Luis Horna,Bjorn Phau,47,33,56,28,82,46
Second,Tommy Haas,2006,Tommy Haas,Paul Goldstein,65,20,52,19,79,41
Second,Nicolas Kiefer,2006,Nicolas Kiefer,Boris Pashanski,48,40,50,36,125,95
Second,Guillermo Coria,2006,Guillermo Coria,Federico Luzzi,46,43,45,37,132,114
Second,Dominik Hrbaty,2006,Dominik Hrbaty,Dick Norman,48,45,43,33,203,180
Second,Sebastien Grosjean,2006,Sebastien Grosjean,Juan Monaco,49,62,46,34,90,69
Second,Max Mirnyi,2006,Max Mirnyi,Davide Sanguinetti,63,59,36,32,152,140
Second,Paul-Henri Mathieu,2006,Paul-Henri Mathieu,Alex Jr. Bogomolov,54,36,50,30,116,82
Second,Nikolay Davydenko,2006,Nikolay Davydenko,Kevin Kim,67,37,47,33,115,86
Second,Juan Carlos Ferrero,2006,Juan Carlos Ferrero,Janko Tipsarevic,53,46,44,34,156,136
Second,Roger Federer,2006,Roger Federer,Florian Mayer,62,44,51,30,87,56
Second,David Ferrer,2006,David Ferrer,Daniele Bracciali,49,55,51,41,145,118
Second,Denis Gremelmayr,2006,Denis Gremelmayr,Robby Ginepri,46,45,41,44,163,168
Second,Gaston Gaudio,2006,Gaston Gaudio,Lars Burgsmuller,64,35,49,30,93,65
Second,Ivan Ljubicic,2006,Ivan Ljubicic,Philipp Kohlschreiber,62,49,49,36,107,82
Second,Gilles Simon,2006,Gilles Simon,Tomas Berdych,54,45,49,38,135,106
Second,Thomas Johansson,2006,Thomas Johansson,Xavier Malisse,53,54,36,35,153,148
Second,Andy Roddick,2006,Andy Roddick,Wesley Moodie,69,73,36,22,92,71
Second,James Blake,2006,James Blake,Jean-Christophe Faurel,51,43,47,36,119,100
Second,David Nalbandian,2006,David Nalbandian,Stanislas Wawrinka,72,57,40,34,136,123
Second,Tommy Robredo,2006,Tommy Robredo,Dmitry Tursunov,65,44,39,33,154,140
Second,Feliciano Lopez,2006,Feliciano Lopez,Gilles Muller,50,52,40,33,138,125
Second,Jarkko Nieminen,2006,Jarkko Nieminen,Jimmy Wang,70,41,49,30,107,72
Second,Mario Ancic,2006,Mario Ancic,Jan Hernych,64,62,40,20,90,66
Second,Fabrice Santoro,2006,Fabrice Santoro,Andrei Pavel,46,38,52,41,102,81
Second,Julien Benneteau,2006,Julien Benneteau,Guillermo Garcia-Lopez,60,56,39,29,108,88
Second,Marcos Baghdatis,2006,Marcos Baghdatis,Radek Stepanek,57,54,39,35,141,137
First,Florian Mayer,2006,Florian Mayer,Hyung-Taik Lee,43,52,49,39,120,100
First,Dominik Hrbaty,2006,Dominik Hrbaty,Oliver Marach,55,37,49,36,153,126
First,Nathan Healey,2006,Nathan Healey,Filippo Volandri,68,33,54,26,70,44
First,Boris Pashanski,2006,Boris Pashanski,Wayne Arthurs,68,49,37,28,137,119
First,Janko Tipsarevic,2006,Janko Tipsarevic,Andreas Seppi,51,46,42,40,142,134
First,Amer Delic,2006,Amer Delic,Potito Starace,54,61,36,36,173,168
First,Fernando Verdasco,2006,Fernando Verdasco,Kenneth Carlsen,54,47,37,27,116,101
First,Roger Federer,2006,Roger Federer,Denis Istomin,57,37,49,25,91,59
First,Kristof Vliegen,2006,Kristof Vliegen,Christophe Rochus,47,50,48,32,91,62
First,Juan Carlos Ferrero,2006,Juan Carlos Ferrero,Tomas Zib,67,37,53,30,91,59
First,Raemon Sluiter,2006,Raemon Sluiter,Pavel Snobel,61,58,39,29,114,102
First,Paul Goldstein,2006,Paul Goldstein,Novak Djokovic,45,42,46,39,123,107
First,Dick Norman,2006,Dick Norman,Zack Fleishman,33,53,39,42,165,175
First,Luis Horna,2006,Luis Horna,Gael Monfils,67,42,44,28,94,72
First,Tommy Haas,2006,Tommy Haas,Richard Gasquet,54,51,42,31,96,73
First,Juan Monaco,2006,Juan Monaco,Jean-Rene Lisnard,56,40,46,37,128,109
First,Peter Luczak,2006,Peter Luczak,Ivo Minar,68,66,26,25,106,102
First,Davide Sanguinetti,2006,Davide Sanguinetti,Jacob Adaktusson,63,42,46,29,116,88
First,Igor Andreev,2006,Igor Andreev,Nicolas Almagro,53,58,41,33,102,85
First,Lleyton Hewitt,2006,Lleyton Hewitt,Robin Vik,36,30,44,46,173,178
First,Sebastien Grosjean,2006,Sebastien Grosjean,Mark Philippoussis,76,47,46,25,90,61
First,Max Mirnyi,2006,Max Mirnyi,Thierry Ascione,53,42,40,32,150,125
First,Nicolas Kiefer,2006,Nicolas Kiefer,Paradorn Srichaphan,53,40,49,36,174,134
First,Paul-Henri Mathieu,2006,Paul-Henri Mathieu,Arnaud Clement,52,39,43,36,106,89
First,Federico Luzzi,2006,Federico Luzzi,Juan-Antonio Marin,46,53,42,31,91,73
First,Olivier Rochus,2006,Olivier Rochus,Michael Llodra,84,42,44,25,89,62
First,Juan Ignacio Chela,2006,Juan Ignacio Chela,Andy Murray,67,45,45,31,93,68
First,Bjorn Phau,2006,Bjorn Phau,Carlos Berlocq,51,49,45,43,138,132
First,Guillermo Coria,2006,Guillermo Coria,Victor Hanescu,24,27,53,51,156,148
First,Alex Jr. Bogomolov,2006,Alex Jr. Bogomolov,Fernando Gonzalez,34,38,40,43,195,200
First,Nikolay Davydenko,2006,Nikolay Davydenko,Ivo Karlovic,55,41,33,29,165,156
First,Kevin Kim,2006,Kevin Kim,Harel Levy,54,37,50,34,108,79
First,Lars Burgsmuller,2006,Lars Burgsmuller,Rainer Schuettler,44,44,43,42,119,113
First,Gaston Gaudio,2006,Gaston Gaudio,Razvan Sabau,53,27,58,31,55,32
First,Feliciano Lopez,2006,Feliciano Lopez,Tomas Behrend,64,47,43,26,112,87
First,Daniele Bracciali,2006,Daniele Bracciali,Yen-Hsun Lu,49,33,52,33,104,70
First,Mario Ancic,2006,Mario Ancic,Agustin Calleri,43,50,41,37,125,115
First,David Ferrer,2006,David Ferrer,Florent Serra,51,24,51,42,141,121
First,Fabrice Santoro,2006,Fabrice Santoro,Vince Spadea,65,41,50,33,113,84
First,Jean-Christophe Faurel,2006,Jean-Christophe Faurel,Alexander Waske,52,36,41,30,120,102
First,Robby Ginepri,2006,Robby Ginepri,Jurgen Melzer,50,41,57,36,85,55
First,Jan Hernych,2006,Jan Hernych,Fernando Vicente,49,50,39,36,138,128
First,Radek Stepanek,2006,Radek Stepanek,Bjorn Rehnquist,73,45,52,28,79,46
First,Wesley Moodie,2006,Wesley Moodie,Oscar Hernandez,55,56,35,31,139,129
First,Thomas Johansson,2006,Thomas Johansson,Cyril Saulnier,58,47,43,28,116,90
First,Guillermo Garcia-Lopez,2006,Guillermo Garcia-Lopez,Taylor Dent,47,43,38,32,108,94
First,Tommy Robredo,2006,Tommy Robredo,Jiri Vanek,55,37,41,32,116,99
First,David Nalbandian,2006,David Nalbandian,Danai Udomchoke,44,38,44,41,165,150
First,Tomas Berdych,2006,Tomas Berdych,Bobby Reynolds,45,42,44,36,147,124
First,Dmitry Tursunov,2006,Dmitry Tursunov,Tim Henman,40,43,46,42,153,140
First,Jimmy Wang,2006,Jimmy Wang,Mariano Zabaleta,66,42,49,31,97,70
First,James Blake,2006,James Blake,Jose Acasuso,53,53,41,38,134,123
First,Julien Benneteau,2006,Julien Benneteau,Marcos Daniel,80,29,57,24,72,38
First,Philipp Kohlschreiber,2006,Philipp Kohlschreiber,Lukas Dlouhy,59,50,46,27,102,72
First,Stanislas Wawrinka,2006,Stanislas Wawrinka,Albert Montanes,51,56,40,31,106,86
First,Jarkko Nieminen,2006,Jarkko Nieminen,Marc Kimmich,48,42,51,34,85,59
First,Denis Gremelmayr,2006,Denis Gremelmayr,Jonas Bjorkman,55,39,53,34,113,78
First,Ivan Ljubicic,2006,Ivan Ljubicic,Chris Guccione,66,46,32,23,117,103
First,Andrei Pavel,2006,Andrei Pavel,Carlos Moya,41,47,39,39,161,166
First,Xavier Malisse,2006,Xavier Malisse,Mikhail Youzhny,50,44,46,38,137,115
First,Andy Roddick,2006,Andy Roddick,Michael Lammer,45,35,50,32,91,62
First,Marcos Baghdatis,2006,Marcos Baghdatis,Justin Gimelstob,56,46,46,30,110,85
First,Gilles Simon,2006,Gilles Simon,Nicolas Massu,50,47,44,41,180,172
Final,Roger Federer,2007,Roger Federer,Fernando Gonzalez,78,46,40,20,120,93
semi,Fernando Gonzalez,2007,Fernando Gonzalez,Tommy Haas,64,26,51,22,82,45
semi,Roger Federer,2007,Roger Federer,Andy Roddick,68,29,55,25,83,45
quarter,Tommy Haas,2007,Tommy Haas,Nikolay Davydenko,48,55,40,37,134,132
quarter,Fernando Gonzalez,2007,Fernando Gonzalez,Rafael Nadal,61,35,40,31,89,73
quarter,Roger Federer,2007,Roger Federer,Tommy Robredo,58,37,47,33,119,94
quarter,Andy Roddick,2007,Andy Roddick,Mardy Fish,52,31,54,23,85,46
Fourth,Tommy Haas,2007,Tommy Haas,David Nalbandian,45,49,43,33,127,104
Fourth,Nikolay Davydenko,2007,Nikolay Davydenko,Tomas Berdych,56,46,41,33,139,118
Fourth,Fernando Gonzalez,2007,Fernando Gonzalez,James Blake,55,46,40,31,114,99
Fourth,Rafael Nadal,2007,Rafael Nadal,Andy Murray,55,43,38,35,166,149
Fourth,Tommy Robredo,2007,Tommy Robredo,Richard Gasquet,55,55,41,30,133,117
Fourth,Mardy Fish,2007,Mardy Fish,David Ferrer,57,49,38,34,126,112
Fourth,Roger Federer,2007,Roger Federer,Novak Djokovic,67,46,45,25,105,76
Fourth,Andy Roddick,2007,Andy Roddick,Mario Ancic,49,60,31,30,134,129
Third,Tommy Haas,2007,Tommy Haas,Florian Mayer,52,49,46,33,119,96
Third,Tomas Berdych,2007,Tomas Berdych,Dmitry Tursunov,58,38,56,24,87,48
Third,James Blake,2007,James Blake,Robby Ginepri,66,55,41,25,111,89
Third,David Nalbandian,2007,David Nalbandian,Sebastien Grosjean,49,37,43,38,183,164
Third,Nikolay Davydenko,2007,Nikolay Davydenko,Fabrice Santoro,63,50,43,29,103,77
Third,Rafael Nadal,2007,Rafael Nadal,Stanislas Wawrinka,39,33,53,27,99,62
Third,Fernando Gonzalez,2007,Fernando Gonzalez,Lleyton Hewitt,66,33,41,29,125,106
Third,Andy Murray,2007,Andy Murray,Juan Ignacio Chela,48,29,49,37,101,80
Third,Novak Djokovic,2007,Novak Djokovic,Danai Udomchoke,55,47,44,36,131,111
Third,Andy Roddick,2007,Andy Roddick,Marat Safin,58,46,37,32,135,128
Third,Mardy Fish,2007,Mardy Fish,Wayne Arthurs,100,20,80,0,12,2
Third,David Ferrer,2007,David Ferrer,Radek Stepanek,38,36,44,39,179,159
Third,Mario Ancic,2007,Mario Ancic,Dominik Hrbaty,50,41,56,32,94,57
Third,Richard Gasquet,2007,Richard Gasquet,Gael Monfils,58,51,41,26,117,88
Third,Roger Federer,2007,Roger Federer,Mikhail Youzhny,53,39,40,31,109,92
Third,Tommy Robredo,2007,Tommy Robredo,Sam Querrey,69,44,38,25,124,94
