round,winner,year,player1,player2,secPointWon1,secPointWon2,return1,return2,total1,total2
First,Michael Berrer,2010,Michael Berrer,Kristof Vliegen,59,24,53,17,88,45
First,Denis Istomin,2010,Denis Istomin,Jeremy Chardy,65,35,47,24,82,45
First,Mikhail Youzhny,2010,Mikhail Youzhny,Richard Gasquet,51,42,36,35,187,180
First,Jan Hajek,2010,Jan Hajek,Robby Ginepri,53,40,45,35,123,102
First,Lukasz Kubot,2010,Lukasz Kubot,Mischa Zverev,69,39,47,30,95,70
First,Santiago Giraldo,2010,Santiago Giraldo,Tommy Robredo,68,45,43,26,98,69
First,Jo-Wilfried Tsonga,2010,Jo-Wilfried Tsonga,Sergiy Stakhovsky,53,47,42,28,104,78
First,Taylor Dent,2010,Taylor Dent,Fabio Fognini,44,35,53,36,81,51
First,Janko Tipsarevic,2010,Janko Tipsarevic,Ryan Harrison,60,45,42,35,132,111
First,Tommy Haas,2010,Tommy Haas,Simon Greul,68,42,45,31,140,108
First,Nicolas Almagro,2010,Nicolas Almagro,Xavier Malisse,59,56,33,31,178,178
First,Benjamin Becker,2010,Benjamin Becker,Grega Zemlja,47,61,37,34,110,105
First,Alejandro Falla,2010,Alejandro Falla,Marcos Daniel,57,43,40,30,98,76
First,Marcel Granollers,2010,Marcel Granollers,Robin Soderling,58,45,40,40,151,150
First,Andy Roddick,2010,Andy Roddick,Thiemo de Bakker,69,50,39,27,100,79
First,Thomaz Bellucci,2010,Thomaz Bellucci,Teimuraz Gabashvili,49,47,39,34,161,141
First,Feliciano Lopez,2010,Feliciano Lopez,Pablo Cuevas,48,36,39,33,94,78
First,Rainer Schuettler,2010,Rainer Schuettler,Sam Querrey,49,41,37,36,112,107
First,Tomas Berdych,2010,Tomas Berdych,Robin Haase,64,34,51,28,91,56
First,Evgeny Korolev,2010,Evgeny Korolev,Daniel Brands,49,48,44,35,107,89
First,Marsel Ilhan,2010,Marsel Ilhan,Sebastien Grosjean,61,49,40,35,112,99
First,Fernando Gonzalez,2010,Fernando Gonzalez,Olivier Rochus,46,42,43,28,124,99
First,Marin Cilic,2010,Marin Cilic,Fabrice Santoro,55,49,40,30,108,92
First,Bernard Tomic,2010,Bernard Tomic,Guillaume Rufin,62,50,46,33,94,70
First,Igor Kunitsyn,2010,Igor Kunitsyn,Jose Acasuso,48,39,44,35,126,99
First,Stanislas Wawrinka,2010,Stanislas Wawrinka,Guillermo Garcia-Lopez,66,42,41,23,93,63
First,Viktor Troicki,2010,Viktor Troicki,Nicolas Lapentti,54,48,46,33,128,99
First,Florian Mayer,2010,Florian Mayer,Philipp Petzschner,49,44,39,40,123,123
First,James Blake,2010,James Blake,Arnaud Clement,60,53,40,27,111,86
First,Juan Martin Del Potro,2010,Juan Martin Del Potro,Michael Russell,48,46,40,35,124,116
First,Andy Murray,2010,Andy Murray,Kevin Anderson,60,26,55,30,87,52
First,Marc Gicquel,2010,Marc Gicquel,Simone Bolelli,58,46,38,32,131,114
First,Jarkko Nieminen,2010,Jarkko Nieminen,Nick Lindahl,62,44,41,29,110,87
First,Florent Serra,2010,Florent Serra,Jurgen Melzer,67,51,36,31,158,134
First,John Isner,2010,John Isner,Andreas Seppi,48,56,30,33,149,147
First,Louk Sorensen,2010,Louk Sorensen,Yen-Hsun Lu,58,39,43,28,115,88
First,Antonio Veic,2010,Antonio Veic,Daniel Koellerer,52,41,42,39,153,140
First,Gael Monfils,2010,Gael Monfils,Matthew Ebden,63,49,37,22,96,79
First,Julien Benneteau,2010,Julien Benneteau,David Guez,45,69,39,37,134,130
First,Andrey Golubev,2010,Andrey Golubev,Mardy Fish,54,39,45,39,114,103
First,Ivan Ljubicic,2010,Ivan Ljubicic,Jason Murray Kubler,71,40,51,18,87,46
First,Philipp Kohlschreiber,2010,Philipp Kohlschreiber,Horacio Zeballos,52,26,50,25,100,61
First,Wayne Odesnik,2010,Wayne Odesnik,Blaz Kavcic,51,39,48,35,122,93
First,Lukas Lacko,2010,Lukas Lacko,Leonardo Mayer,52,50,41,25,89,63
First,Rafael Nadal,2010,Rafael Nadal,Peter Luczak,56,35,41,30,113,82
Final,Novak Djokovic,2011,Novak Djokovic,Andy Murray,60,31,51,33,106,78
semi,Andy Murray,2011,Andy Murray,David Ferrer,37,49,44,40,152,141
semi,Novak Djokovic,2011,Novak Djokovic,Roger Federer,41,48,38,37,119,111
quarter,David Ferrer,2011,David Ferrer,Rafael Nadal,57,37,51,33,102,75
quarter,Andy Murray,2011,Andy Murray,Alexandr Dolgopolov,61,35,44,31,152,124
quarter,Novak Djokovic,2011,Novak Djokovic,Tomas Berdych,41,36,46,31,107,80
quarter,Roger Federer,2011,Roger Federer,Stanislas Wawrinka,76,56,43,27,90,66
Fourth,Rafael Nadal,2011,Rafael Nadal,Marin Cilic,48,33,43,29,103,82
Fourth,David Ferrer,2011,David Ferrer,Milos Raonic,55,51,40,29,131,109
Fourth,Alexandr Dolgopolov,2011,Alexandr Dolgopolov,Robin Soderling,44,38,49,38,132,111
Fourth,Andy Murray,2011,Andy Murray,Jurgen Melzer,57,32,56,29,90,52
Fourth,Tomas Berdych,2011,Tomas Berdych,Fernando Verdasco,74,44,42,17,88,57
Fourth,Novak Djokovic,2011,Novak Djokovic,Nicolas Almagro,47,44,46,24,93,60
Fourth,Stanislas Wawrinka,2011,Stanislas Wawrinka,Andy Roddick,65,41,39,22,106,85
Fourth,Roger Federer,2011,Roger Federer,Tommy Robredo,61,49,37,27,117,97
Third,Rafael Nadal,2011,Rafael Nadal,Bernard Tomic,54,35,45,37,108,92
Third,Marin Cilic,2011,Marin Cilic,John Isner,68,54,30,26,192,179
Third,Milos Raonic,2011,Milos Raonic,Mikhail Youzhny,61,57,39,31,123,107
Third,David Ferrer,2011,David Ferrer,Richard Berankis,58,33,54,24,95,53
Third,Robin Soderling,2011,Robin Soderling,Jan Hernych,53,44,49,27,100,67
Third,Alexandr Dolgopolov,2011,Alexandr Dolgopolov,Jo-Wilfried Tsonga,48,33,41,34,121,102
Third,Jurgen Melzer,2011,Jurgen Melzer,Marcos Baghdatis,58,51,41,32,115,94
Third,Andy Murray,2011,Andy Murray,Guillermo Garcia-Lopez,57,21,52,29,79,48
Third,Tomas Berdych,2011,Tomas Berdych,Richard Gasquet,65,41,42,26,103,78
Third,Fernando Verdasco,2011,Fernando Verdasco,Kei Nishikori,59,33,44,30,94,70
Third,Nicolas Almagro,2011,Nicolas Almagro,Ivan Ljubicic,73,54,29,20,96,79
Third,Novak Djokovic,2011,Novak Djokovic,Viktor Troicki,80,13,54,36,35,25
Third,Andy Roddick,2011,Andy Roddick,Robin Haase,56,42,39,28,123,99
Third,Stanislas Wawrinka,2011,Stanislas Wawrinka,Gael Monfils,54,43,44,32,120,95
Third,Tommy Robredo,2011,Tommy Robredo,Sergiy Stakhovsky,58,40,44,37,140,119
Third,Roger Federer,2011,Roger Federer,Xavier Malisse,57,35,53,37,98,70
Second,Rafael Nadal,2011,Rafael Nadal,Ryan Sweeting,54,38,53,26,90,52
Second,Bernard Tomic,2011,Bernard Tomic,Feliciano Lopez,55,59,33,27,104,90
Second,John Isner,2011,John Isner,Radek Stepanek,63,53,34,24,105,82
Second,Marin Cilic,2011,Marin Cilic,Santiago Giraldo,60,52,38,27,101,73
Second,Mikhail Youzhny,2011,Mikhail Youzhny,Blaz Kavcic,55,46,40,33,156,133
Second,Milos Raonic,2011,Milos Raonic,Michael Llodra,68,51,33,19,113,90
Second,Richard Berankis,2011,Richard Berankis,David Nalbandian,72,28,59,20,63,26
Second,David Ferrer,2011,David Ferrer,Michael Russell,71,29,48,21,90,55
Second,Robin Soderling,2011,Robin Soderling,Gilles Muller,67,40,37,17,92,61
Second,Jan Hernych,2011,Jan Hernych,Thomaz Bellucci,43,40,41,38,207,192
Second,Alexandr Dolgopolov,2011,Alexandr Dolgopolov,Benjamin Becker,72,48,39,20,120,88
Second,Jo-Wilfried Tsonga,2011,Jo-Wilfried Tsonga,Andreas Seppi,44,49,34,32,115,102
Second,Jurgen Melzer,2011,Jurgen Melzer,Pere Riba,50,42,45,31,90,66
Second,Marcos Baghdatis,2011,Marcos Baghdatis,Juan Martin Del Potro,51,51,41,31,116,96
Second,Guillermo Garcia-Lopez,2011,Guillermo Garcia-Lopez,Eduardo Schwank,62,41,39,24,111,86
Second,Andy Murray,2011,Andy Murray,Illya Marchenko,43,41,49,34,91,62
Second,Tomas Berdych,2011,Tomas Berdych,Philipp Kohlschreiber,49,37,39,29,133,108
Second,Richard Gasquet,2011,Richard Gasquet,Adrian Mannarino,57,47,43,28,115,88
Second,Kei Nishikori,2011,Kei Nishikori,Florian Mayer,56,38,41,37,121,113
Second,Fernando Verdasco,2011,Fernando Verdasco,Janko Tipsarevic,40,47,41,35,161,144
Second,Nicolas Almagro,2011,Nicolas Almagro,Igor Andreev,54,49,34,33,169,169
Second,Ivan Ljubicic,2011,Ivan Ljubicic,Benoit Paire,58,45,38,35,141,132
Second,Viktor Troicki,2011,Viktor Troicki,Nicolas Mahut,33,37,44,40,122,112
Second,Novak Djokovic,2011,Novak Djokovic,Ivan Dodig,64,47,39,28,146,121
Second,Andy Roddick,2011,Andy Roddick,Igor Kunitsyn,74,61,35,17,99,74
Second,Robin Haase,2011,Robin Haase,Juan Monaco,47,47,45,40,142,127
Second,Stanislas Wawrinka,2011,Stanislas Wawrinka,Grigor Dimitrov,65,43,39,29,91,71
Second,Gael Monfils,2011,Gael Monfils,Frederico Gil,49,57,45,35,123,108
Second,Tommy Robredo,2011,Tommy Robredo,Mardy Fish,47,40,41,34,119,103
Second,Sergiy Stakhovsky,2011,Sergiy Stakhovsky,Lukasz Kubot,41,31,48,39,98,79
Second,Xavier Malisse,2011,Xavier Malisse,Albert Montanes,61,33,56,31,93,55
Second,Roger Federer,2011,Roger Federer,Gilles Simon,43,55,43,35,151,130
First,Rafael Nadal,2011,Rafael Nadal,Marcos Daniel,56,0,92,26,49,12
First,Ryan Sweeting,2011,Ryan Sweeting,Daniel Gimeno-Traver,41,40,43,35,105,85
First,Bernard Tomic,2011,Bernard Tomic,Jeremy Chardy,71,41,37,27,103,81
First,Feliciano Lopez,2011,Feliciano Lopez,Alejandro Falla,51,44,42,32,108,89
First,John Isner,2011,John Isner,Florent Serra,48,50,33,27,108,90
First,Radek Stepanek,2011,Radek Stepanek,Denis Gremelmayr,71,48,46,23,91,62
First,Santiago Giraldo,2011,Santiago Giraldo,Rui Machado,62,41,48,35,126,99
First,Marin Cilic,2011,Marin Cilic,Donald Young,64,41,46,25,86,56
First,Mikhail Youzhny,2011,Mikhail Youzhny,Marsel Ilhan,67,49,34,21,104,81
First,Blaz Kavcic,2011,Blaz Kavcic,Kevin Anderson,43,49,33,36,134,139
First,Milos Raonic,2011,Milos Raonic,Bjorn Phau,64,57,32,22,115,96
